1,0.000107307,3.22776e-05,0.000316838,-5.03504e-06,-0.000440294,-0.00104505,0.0161471,-1.04225e-22,-0.0123312,-0.0438083,2.08914e-05,0,-1.3279e-06,-4.20138e-08,0.00460409
0.999998,-0.00127023,0.00126827,0.000330989,-4.63937e-06,-0.000442205,-0.00104349,0.016318,2.17899e-19,-0.408557,0.415557,-0.00322043,0,-0.00034013,0.000103044,0.0680806
0.999958,-0.00647183,0.00653541,0.000380099,-2.51573e-06,-0.000394124,-0.000997947,0.0170664,-2.86297e-19,-1.05235,1.07533,0.00630114,0,-0.00794443,-0.00798063,0.154877
0.999797,-0.0142467,0.0142649,0.000405245,1.2494e-06,-0.000358282,-0.000968016,0.0183967,5.68994e-19,-1.33306,1.31441,0.00230061,0,-0.0156463,-0.0172002,0.256831
0.999528,-0.0217293,0.02172,0.000394442,5.33245e-06,-0.000313691,-0.000929457,0.0203873,-1.59136e-18,-1.16321,1.16355,-0.00323803,0,-0.00723508,-0.00814295,0.365618
0.999221,-0.0279375,0.0278528,0.000376115,8.70409e-06,-0.000230769,-0.000853943,0.0229725,-3.81101e-18,-0.981231,0.961713,-0.00249059,0,0.00597786,0.00414066,0.461248
0.998889,-0.0333853,0.0332564,0.000357882,1.16185e-05,-0.000110562,-0.000740766,0.0260937,4.41728e-18,-0.903363,0.894117,-0.00298575,0,0.0154097,0.0140208,0.54574
0.998504,-0.0387391,0.038587,0.000338093,1.4559e-05,3.74238e-05,-0.000599174,0.0296748,-6.97765e-18,-0.893193,0.889515,-0.00327915,0,0.0226242,0.0215671,0.619151
0.99807,-0.0440009,0.043829,0.000319191,1.74953e-05,0.000217795,-0.000424913,0.0336637,-1.86453e-18,-0.865251,0.859943,-0.00295327,0,0.032251,0.0311268,0.684374
0.997609,-0.0489784,0.0487677,0.000302136,2.03222e-05,0.000443333,-0.000206009,0.0380183,-4.98945e-18,-0.811882,0.80387,-0.00255924,0,0.0450154,0.0437186,0.742442
0.997135,-0.0536163,0.0533573,0.000285859,2.30661e-05,0.000723348,6.70397e-05,0.0427,2.95202e-18,-0.758737,0.749958,-0.00245551,0,0.0591284,0.0577847,0.793852
0.99665,-0.0579807,0.0576744,0.00026937,2.58195e-05,0.00106222,0.000399031,0.0476719,-1.19882e-17,-0.71792,0.709516,-0.00250645,0,0.0734261,0.07214,0.839152
0.996152,-0.0621497,0.0617976,0.000253008,2.86408e-05,0.00146227,0.000792388,0.0528904,7.85581e-18,-0.68754,0.679267,-0.0024453,0,0.0876702,0.0864296,0.87724
0.995643,-0.0661329,0.065735,0.000237146,3.15376e-05,0.00192924,0.00125281,0.0583282,1.22926e-19,-0.656591,0.648287,-0.00233372,0,0.103068,0.101864,0.910812
0.995128,-0.0699357,0.0694917,0.000221891,3.45177e-05,0.00246943,0.00178665,0.0639693,-1.70104e-17,-0.627812,0.619485,-0.00221365,0,0.119428,0.118268,0.941554
0.994606,-0.0735899,0.0730996,0.000207334,3.76048e-05,0.0030861,0.00239722,0.0697828,8.18329e-18,-0.604763,0.596443,-0.00208165,0,0.135806,0.134701,0.967064
0.994078,-0.0771093,0.0765726,0.000193515,4.08072e-05,0.00378421,0.00308951,0.0757552,1.54981e-18,-0.583266,0.574973,-0.00194572,0,0.153002,0.151962,0.990255
0.993543,-0.0805189,0.0799361,0.000180492,4.41375e-05,0.00456651,0.00386637,0.0818615,2.11668e-18,-0.566471,0.558241,-0.00180466,0,0.170111,0.169148,1.00922
0.993,-0.0838359,0.0832072,0.000168299,4.76008e-05,0.00543645,0.00473129,0.0880856,-4.10197e-18,-0.551971,0.543818,-0.00166084,0,0.187587,0.186711,1.02548
0.992449,-0.0870702,0.0863959,0.000156953,5.11961e-05,0.00639815,0.00568846,0.0944181,-1.25949e-17,-0.539327,0.531258,-0.00151587,0,0.205565,0.204787,1.04008
0.991888,-0.0902403,0.0895208,0.000146472,5.49266e-05,0.00745421,0.00674054,0.100846,1.6008e-17,-0.530012,0.522033,-0.00137081,0,0.223537,0.222867,1.0524
0.991316,-0.093366,0.0926017,0.000136866,5.87958e-05,0.00860658,0.00788953,0.107356,-8.1523e-18,-0.523813,0.515928,-0.00122712,0,0.241434,0.240879,1.06266
0.990729,-0.0964675,0.0956587,0.000128131,6.28076e-05,0.00985642,0.00913665,0.113935,5.36016e-18,-0.520747,0.512953,-0.00108694,0,0.259047,0.258615,1.07057
0.990125,-0.0995514,0.0986986,0.000120261,6.69555e-05,0.0112068,0.010485,0.120576,5.13707e-18,-0.518511,0.510808,-0.000948732,0,0.277065,0.276765,1.0775
0.989504,-0.102627,0.101731,0.000113241,7.12362e-05,0.0126599,0.0119369,0.127272,1.04304e-17,-0.518222,0.510602,-0.000814886,0,0.295081,0.294919,1.08308
0.988862,-0.105713,0.104773,0.000107036,7.56548e-05,0.0142165,0.013493,0.134013,-5.20958e-18,-0.520887,0.513337,-0.000688505,0,0.312681,0.312661,1.08715
0.988196,-0.108814,0.107831,0.000101629,8.02058e-05,0.0158789,0.0151559,0.140796,8.13403e-19,-0.524261,0.516777,-0.000565377,0,0.330585,0.330716,1.09062
0.987271,-0.112984,0.111944,9.56214e-05,8.64712e-05,0.0182641,0.0175431,0.149898,-4.31937e-18,-0.530443,0.523034,-0.000408344,0,0.354706,0.355046,1.09435
0.986541,-0.11616,0.115078,9.19308e-05,9.13228e-05,0.0201797,0.0194613,0.156764,3.38812e-17,-0.540028,0.53271,-0.000319207,0,0.37172,0.372239,1.0967
